trial	illusion_name
1	mullerlyer
2	poggendoff
3	ebbinghaus
4	ponzo
5	jastrow
6	delboeuf
7	ehrenstein
8	hering
9	orbison
10	sanders
11	verticalhorizontal
12	giovanelli
13	bourdon
14	oppelkundt
15	shepardtable
16	amodal
17	checkerboard
18	cornsweet
19	white
20	whitedottedline
21	saturationcontrast
22	cyansquare
23	kaniza
24	kaniza
25	wifemother
26	rubinsvase
27	duckrabbit
28	stairs
29	stairs
30	husbandfather
31	mullerlyer
32	ebbinghaus
33	ponzo
34	jastrow
35	delboeuf
36	ehrenstein
37	hering
38	orbison
39	sanders
40	giovanelli
41	bourdon
42	shepardtable
43	amodal
44	checkerboard
45	cornsweet
46	white
47	whitedottedline
48	saturationcontrast
49	cyansquare
